OBJECTID;AV_FE_APER;AV_PROF;AV_TIPO_EL;AV_ELE_TUB;TR_DIA_INT;TR_DIA_EXT;TR_MATERIA;TR_LONG;TR_FE_INST;TR_FE_UREV;TR_IMPULSI;TR_RUG;TR_TIPO_RE;AV_ESPROVO;FECHA
1;20120602;1,20000000000;DIS;1;63,80000000000;75,00000000000;PVB;495,91760535800;19870101;0;0;0,00900000000;P;N;02/06/2012
4;20120605;0,80000000000;DIS;1;42,60000000000;50,00000000000;PVB;754,27864393900;19870101;0;0;0,00900000000;P;N;05/06/2012
6;20120605;0,60000000000;DIS;1;26,00000000000;32,00000000000;PAD;158,43670965400;19870101;0;0;0,00600000000;P;N;05/06/2012
7;20120606;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;148,71254809400;19870101;0;0;0,00600000000;P;N;06/06/2012
8;20120606;1,00000000000;DIS;1;20,40000000000;25,00000000000;PAD;164,37141533100;19870101;0;0;0,00600000000;P;N;06/06/2012
5332;20180405;1,00000000000;ACO;0;32,00000000000;42,40000000000;HG;13,05935904040;19700509;0;0;0,15000000000;P;N;05/04/2018
9;20120606;0,90000000000;DIS;1;34,00000000000;40,00000000000;PVB;402,14845609500;19870101;0;0;0,00900000000;P;N;06/06/2012
10;20120607;0,60000000000;DIS;1;27,20000000000;32,00000000000;PVB;582,29039194100;19870101;0;0;0,00900000000;P;N;07/06/2012
14;20120609;0,80000000000;DIS;1;51,40000000000;63,00000000000;PAD;248,49639684500;19870101;0;0;0,00600000000;P;N;09/06/2012
15;20120610;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;57,80431517620;19870101;0;0;0,00600000000;P;N;10/06/2012
16;20120611;0,30000000000;DIS;1;26,00000000000;32,00000000000;PAD;146,44600049000;19870101;0;0;0,00600000000;P;N;11/06/2012
5333;20180301;1,00000000000;DIS;1;76,60000000000;90,00000000000;PVB;270,50491699700;19870101;0;0;0,00900000000;P;N;01/03/2018
5334;20180301;0,50000000000;ACO;0;213,00000000000;250,00000000000;PVB;116,50914156400;19870101;0;0;0,00900000000;P;N;01/03/2018
5335;20180301;0,50000000000;ACO;0;51,40000000000;63,00000000000;PAD;13,77975830460;20110114;0;0;0,00600000000;P;N;01/03/2018
18;20120611;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;109,42839740000;19870101;0;0;0,00600000000;P;N;11/06/2012
19;20120611;0,20000000000;DIS;1;26,00000000000;32,00000000000;PAD;146,44600049000;19870101;0;0;0,00600000000;P;N;11/06/2012
21;20120612;1,00000000000;DIS;1;53,60000000000;63,00000000000;PVB;294,52010034000;19870101;0;0;0,00900000000;P;N;12/06/2012
22;20120613;0,60000000000;DIS;1;16,00000000000;20,00000000000;PAD;105,99352400900;19870101;0;0;0,00600000000;P;N;13/06/2012
23;20120613;0,30000000000;DIS;1;20,40000000000;25,00000000000;PAD;37,73234170650;19870101;0;0;0,00600000000;P;N;13/06/2012
24;20120613;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;37,73234170650;19870101;0;0;0,00600000000;P;N;13/06/2012
25;20120614;0,50000000000;DIS;1;16,00000000000;20,00000000000;PAD;24,23571679220;19870101;0;0;0,00600000000;P;N;14/06/2012
26;20120614;0,60000000000;DIS;1;26,00000000000;32,00000000000;PAD;263,03588368900;19870101;0;0;0,00600000000;P;N;14/06/2012
27;20120614;1,30000000000;DIS;1;100,00000000000;116,00000000000;FBA;67,36489105060;19700509;0;0;0,09900000000;P;N;14/06/2012
28;20120615;0,40000000000;DIS;1;16,00000000000;20,00000000000;PAD;79,78589237240;19870101;0;0;0,00600000000;P;N;15/06/2012
29;20120619;0,80000000000;DIS;1;90,00000000000;110,00000000000;PAD;115,20231426900;20130409;0;0;0,00600000000;P;S;19/06/2012
30;20120619;1,00000000000;DIS;1;53,60000000000;63,00000000000;PVB;964,57397832300;19870101;0;0;0,00900000000;P;N;19/06/2012
31;20120620;0,80000000000;DIS;1;53,60000000000;63,00000000000;PVB;398,93760458700;19870101;0;0;0,00900000000;P;N;20/06/2012
33;20120621;0,60000000000;DIS;1;50,00000000000;66,00000000000;FBA;187,95701426100;19700509;0;0;0,09900000000;P;N;21/06/2012
34;20120621;0,70000000000;DIS;1;63,80000000000;75,00000000000;PVB;286,92553174300;19870101;0;0;0,00900000000;P;N;21/06/2012
35;20120623;0,70000000000;DIS;1;40,80000000000;50,00000000000;PAD;4,18770062336;19870101;0;0;0,00600000000;P;N;23/06/2012
36;20120623;0,50000000000;DIS;1;32,60000000000;40,00000000000;PAD;216,62940129000;19870101;0;0;0,00600000000;P;N;23/06/2012
37;20120625;1,00000000000;DIS;1;63,80000000000;75,00000000000;PVB;328,28457801700;19870101;0;0;0,00900000000;P;N;25/06/2012
40;20120625;0,40000000000;DIS;1;20,40000000000;25,00000000000;PAD;144,78170270400;19870101;0;0;0,00600000000;P;N;25/06/2012
5336;20180301;0,50000000000;ACO;0;80,00000000000;98,00000000000;FBA;557,68460897600;19700509;0;0;0,09900000000;P;N;01/03/2018
41;20120626;0,90000000000;DIS;1;50,00000000000;66,00000000000;FBA;57,93997954780;19700509;0;0;0,09900000000;P;N;26/06/2012
43;20120627;1,20000000000;DIS;1;53,60000000000;63,00000000000;PVB;48,50775510070;19870101;0;0;0,00900000000;P;N;27/06/2012
44;20120627;0,60000000000;DIS;1;26,00000000000;32,00000000000;PAD;32,53464207650;19870101;0;0;0,00600000000;P;N;27/06/2012
